iter	RMSE
184	4217.26493
185	4216.171169
186	4214.30473
187	4212.628637
188	4208.007511
189	4206.97972
190	4204.049451
191	4200.868876
192	4196.569186
193	4195.963508
194	4194.406912
195	4192.792988
196	4191.743085
197	4188.968375
198	4187.583601
199	4186.779448
200	4184.492671
201	4183.775482
202	4179.724488
203	4177.26139
204	4174.110956
205	4171.416609
206	4169.727573
207	4169.234647
208	4166.858157
209	4164.051832
210	4160.448857
211	4159.2991
212	4158.212097
213	4156.876916
214	4151.015184
215	4150.079788
216	4147.567591
217	4146.282853
218	4144.982112
219	4143.090433
220	4140.218774
221	4138.681151
222	4137.895334
223	4135.515187
224	4133.734694
225	4132.883166
226	4131.174319
227	4130.559225
228	4128.286801
229	4124.7695
230	4122.752422
231	4120.993252
232	4118.775926
233	4116.594568
234	4113.43064
235	4111.126569
236	4110.424994
237	4109.281023
238	4106.432339
239	4105.245379
240	4099.6943
241	4097.670282
242	4095.961406
243	4091.953614
244	4090.256177
245	4087.334447
246	4085.308361
247	4083.641905
248	4082.73799
249	4081.838427
250	4079.021198
251	4075.989157
252	4074.5378
253	4071.326727
254	4069.939817
255	4067.27768
256	4065.872803
257	4063.43103
258	4060.939006
259	4059.110869
260	4057.503473
261	4056.657273
262	4055.192068
263	4052.908368
264	4051.921112
265	4049.667967
266	4048.775749
267	4047.401006
268	4045.564784
269	4044.833648
270	4044.065555
271	4043.030488
272	4041.08501
273	4040.592349
274	4037.686869
275	4036.902101
276	4033.944666
277	4032.969451
278	4031.602687
279	4030.825864
280	4028.789596
281	4027.342433
282	4025.686453
283	4024.191505
284	4022.019202
285	4021.303018
286	4019.749846
287	4018.665781
288	4017.837315
289	4016.602876
290	4015.308842
291	4013.939919
292	4009.706561
293	4007.557512
294	4004.796558
295	4003.035186
296	4001.055514
297	3999.436639
298	3997.540906
299	3996.47048
300	3994.70612
301	3992.854288
302	3991.74803
303	3989.739774
304	3988.323922
305	3987.089167
306	3985.403108
307	3984.734797
308	3982.607299
309	3979.9316
310	3979.239625
311	3977.097632
312	3975.579399
313	3974.271668
314	3973.593216
315	3973.02463
316	3972.129636
317	3971.411804
318	3970.422356
319	3969.404323
320	3966.454324
321	3964.895762
322	3964.037292
323	3963.378234
324	3962.391709
325	3961.814426
326	3961.128353
327	3959.62462
328	3958.698872
329	3956.932571
330	3956.008554
331	3954.55053
332	3953.713106
333	3951.942367
334	3950.384072
335	3949.905881
336	3949.389834
337	3949.024369
338	3948.406665
339	3947.184461
340	3945.833946
341	3945.098603
342	3942.996582
343	3942.367932
344	3939.916208
345	3938.242132
346	3936.612981
347	3935.164469
348	3933.499261
349	3932.10097
350	3931.436911
351	3931.036441
352	3929.748572
353	3929.114005
354	3928.001086
355	3926.59504
356	3925.001531
357	3923.734743
358	3922.057658
359	3921.047101
360	3920.864773
361	3919.674491
362	3918.695421
363	3916.911823
364	3915.853088
365	3915.554621
366	3914.155006
367	3912.611364
368	3911.451646
369	3910.325989
370	3909.66496
371	3908.68271
372	3908.075939
373	3907.477607
374	3906.424619
375	3905.666209
376	3905.23164
377	3904.067741
378	3903.199486
379	3902.399461
380	3902.118596
381	3900.428858
382	3899.397466
383	3898.735806
384	3898.174983
385	3896.968081
386	3895.182554
387	3894.278356
388	3892.279365
389	3891.110036
390	3889.61839
391	3889.011716
392	3888.174378
393	3886.83645
394	3886.232925
395	3885.888926
396	3885.488976
397	3884.404331
398	3882.823859
399	3882.116383
400	3880.709429
401	3879.298846
402	3878.983973
403	3878.103037
404	3877.760703
405	3875.803464
406	3874.426451
407	3873.277109
408	3872.828795
409	3872.283357
410	3871.548011
411	3870.695125
412	3869.926032
413	3868.879383
414	3866.284074
415	3865.629293
416	3864.82999
417	3864.231009
418	3863.902476
419	3862.384192
420	3861.423497
421	3860.663482
422	3859.32361
423	3859.10627
424	3858.810868
425	3858.132555
426	3857.643253
427	3857.262097
428	3856.554221
429	3855.894355
430	3855.278057
431	3855.119509
432	3854.321133
433	3853.522386
434	3853.146886
435	3852.285904
436	3851.928861
437	3851.112239
438	3849.800522
439	3849.247301
440	3848.485384
441	3847.993972
442	3846.795335
443	3846.169777
444	3845.911112
445	3845.549709
446	3845.182514
447	3844.682739
448	3842.339567
449	3842.081231
450	3839.883848
451	3839.565115
452	3838.947549
453	3838.806584
454	3838.123136
455	3837.294085
456	3836.741858
457	3836.592679
458	3835.593038
459	3834.260928
460	3833.673306
461	3832.208038
462	3830.237135
463	3829.804177
464	3829.048671
465	3828.605802
466	3826.501676
467	3825.221443
468	3824.683958
469	3823.794066
470	3823.593394
471	3822.984103
472	3822.0752
473	3820.266515
474	3818.783127
475	3818.54835
476	3816.521506
477	3815.218819
478	3814.35852
479	3813.20527
480	3811.933649
481	3811.403682
482	3810.886444
483	3810.510282
484	3810.024342
485	3809.566179
486	3808.529827
487	3808.275909
488	3807.658256
489	3806.635599
490	3805.901206
491	3805.397395
492	3804.767587
493	3804.029833
494	3802.75372
495	3802.049118
496	3801.373978
497	3800.626671
498	3800.551139
499	3800.118341
500	3799.441278
501	3799.267021
502	3798.504033
503	3797.222778
504	3796.555028
505	3796.517743
506	3794.162835
507	3794.129389
508	3793.583158
509	3793.143139
510	3792.958684
511	3791.93423
512	3790.970945
513	3790.220113
514	3789.181934
515	3788.430029
516	3788.234008
517	3787.713281
518	3785.753918
519	3785.628205
520	3784.685278
521	3783.866514
522	3783.219541
523	3783.176785
524	3780.056422
525	3778.957173
526	3778.296908
527	3777.94155
528	3777.272476
529	3776.947428
530	3776.71373
531	3775.797517
532	3774.526332
533	3773.446672
534	3772.592678
535	3771.369679
536	3770.752362
537	3770.059794
538	3769.179363
539	3768.389137
540	3767.31327
541	3766.282467
542	3764.49305
543	3761.647697
544	3761.559058
545	3761.202017
546	3760.780168
547	3759.879741
548	3759.286077
549	3758.642431
550	3758.086765
551	3757.623049
552	3757.159432
553	3756.451939
554	3755.762832
555	3755.498483
556	3754.770898
557	3753.841029
558	3753.01578
559	3752.441896
560	3751.40502
561	3750.563798
562	3749.836278
563	3749.122051
564	3748.866032
565	3747.566832
566	3746.539903
567	3745.81169
568	3745.406784
569	3744.430126
570	3743.70431
571	3743.029972
572	3742.599124
573	3742.297618
574	3741.536267
575	3740.661816
576	3740.524554
577	3739.878784
578	3739.222922
579	3738.851566
580	3737.546268
581	3736.840422
582	3735.59938
583	3734.979784
584	3734.374362
585	3733.72672
586	3732.797481
587	3732.302392
588	3732.024206
589	3731.711755
590	3731.412342
591	3730.945865
592	3730.118706
593	3729.894287
594	3729.454016
595	3728.483772
596	3728.280061
597	3727.159249
598	3726.79559
599	3726.224657
600	3725.514632
601	3724.973066
602	3724.483279
603	3724.31181
604	3723.475352
605	3722.80369
606	3721.40157
607	3720.108174
608	3717.612834
609	3716.983875
610	3716.053439
611	3715.5018
612	3714.961467
613	3714.604137
614	3714.593878
615	3713.610346
616	3713.460408
617	3713.171258
618	3712.166755
619	3711.768218
620	3711.563074
621	3710.875331
622	3709.838045
623	3709.600211
624	3707.8781
625	3707.135666
626	3706.533338
627	3706.351194
628	3706.193314
629	3704.964949
630	3702.711715
631	3702.351254
632	3702.110261
633	3701.514027
634	3699.247707
635	3698.16092
636	3698.088291
637	3697.770727
638	3697.612832
639	3696.50871
640	3694.720899
641	3694.104594
642	3693.362394
643	3693.065732
644	3692.734629
645	3691.829177
646	3691.199239
647	3691.016359
648	3690.565146
649	3690.07096
650	3689.737997
651	3689.069328
652	3688.932404
653	3688.531637
654	3688.08968
655	3687.470977
656	3686.754631
657	3686.435922
658	3686.198672
659	3685.967506
660	3685.409807
661	3685.041355
662	3684.099959
663	3683.542928
664	3683.160061
665	3682.48841
666	3682.181466
667	3681.786303
668	3681.030933
669	3680.463483
670	3679.981964
671	3679.520949
672	3678.910418
673	3678.532848
674	3678.305088
675	3676.427413
676	3675.257067
677	3674.643069
678	3674.55626
679	3673.810198
680	3673.676881
681	3673.388885
682	3673.280288
683	3672.101434
684	3671.621079
685	3671.104049
686	3670.58835
687	3670.087923
688	3669.667517
689	3668.356312
690	3668.351765
691	3668.169755
692	3667.368369
693	3667.01725
694	3666.942443
695	3666.636885
696	3665.968018
697	3665.332458
698	3664.900875
699	3664.37144
700	3663.673951
701	3662.745305
702	3662.26152
703	3661.65253
704	3661.110812
705	3659.642928
706	3659.335567
707	3659.008008
708	3658.770163
709	3658.765448
710	3658.231041
711	3656.820637
712	3656.570889
713	3656.275477
714	3655.915413
715	3655.186554
716	3653.132383
717	3652.620909
718	3652.087603
719	3651.993982
720	3651.638587
721	3651.459769
722	3650.860042
723	3649.011489
724	3647.443739
725	3646.909426
726	3645.74099
727	3645.170164
728	3645.074529
729	3644.809045
730	3643.518891
731	3643.265866
732	3642.748199
733	3642.514682
734	3642.115829
735	3641.716881
736	3640.719544
737	3639.983712
738	3639.620729
739	3639.188732
740	3639.081644
741	3638.681229
742	3638.549272
743	3637.935703
744	3637.664024
745	3637.349248
746	3636.28614
747	3635.903821
748	3635.184913
749	3634.213006
750	3633.792123
751	3633.440195
752	3633.257775
753	3632.579617
754	3631.840085
755	3631.582358
756	3629.538191
757	3629.159368
758	3627.300747
759	3626.770735
760	3626.507803
761	3626.249514
762	3625.790792
763	3625.597175
764	3625.308275
765	3624.621463
766	3624.154661
767	3623.24825
768	3622.403272
769	3621.685457
770	3621.283679
771	3621.260737
772	3621.088932
773	3620.830066
774	3620.659816
775	3619.673532
776	3619.468885
777	3618.977804
778	3618.835311
779	3617.389828
780	3617.073919
781	3617.047153
782	3616.884102
783	3616.397378
784	3615.283816
785	3614.911818
786	3613.534887
787	3612.410508
788	3612.224425
789	3611.771765
790	3611.335558
791	3610.730379
792	3609.997682
793	3609.860011
794	3609.181006
795	3608.554376
796	3608.143964
797	3607.980061
798	3607.638269
799	3607.239206
800	3607.001661
801	3605.779789
802	3605.06921
803	3604.922435
804	3604.436633
805	3604.089696
806	3603.790719
807	3603.665357
808	3603.365661
809	3600.941635
810	3600.446615
811	3599.620433
812	3599.517539
813	3598.750859
814	3598.191762
815	3597.171502
816	3596.426628
817	3596.178563
818	3593.902156
819	3593.25959
820	3593.12062
821	3592.505525
822	3592.165147
823	3591.965318
824	3591.597509
825	3590.469014
826	3590.159137
827	3589.362975
828	3589.004182
829	3587.376066
830	3586.250939
831	3586.034294
832	3585.77556
833	3585.589532
834	3584.877283
835	3583.919553
836	3583.864617
837	3582.61315
838	3582.356925
839	3581.962476
840	3581.731835
841	3581.316399
842	3580.876335
843	3580.105523
844	3579.883246
845	3579.30959
846	3578.904368
847	3576.931785
848	3576.669439
849	3576.119391
850	3575.844345
851	3575.422721
852	3575.247399
853	3574.944131
854	3574.869322
855	3573.871814
856	3573.176608
857	3572.805447
858	3572.487399
859	3572.213729
860	3572.151839
861	3570.97706
862	3570.3726
863	3570.108847
864	3569.762371
865	3569.489733
866	3568.747077
867	3568.53001
868	3568.139965
869	3567.505083
870	3567.466838
871	3567.377475
872	3567.23135
873	3566.788533
874	3566.201389
875	3565.968335
876	3565.535854
877	3565.311471
878	3565.149675
879	3564.987926
880	3564.423175
881	3563.828018
882	3563.629433
883	3563.544633
884	3563.164863
885	3562.974784
886	3562.332956
887	3561.62238
888	3561.081231
889	3560.998327
890	3560.616496
891	3560.250314
892	3560.133896
893	3559.339281
894	3558.421733
895	3557.63801
896	3557.326777
897	3556.9394
898	3556.442675
899	3555.46213
900	3555.005197
901	3554.818929
902	3554.531533
903	3554.502499
904	3554.456984
905	3553.988644
906	3553.149643
907	3552.878097
908	3552.708794
909	3551.783348
910	3551.285203
911	3551.024505
912	3550.497159
913	3550.208941
914	3550.03349
915	3549.7772
916	3549.329243
917	3548.985476
918	3548.833901
919	3548.299668
920	3548.1283
921	3547.930116
922	3547.114377
923	3546.408862
924	3545.760953
925	3545.501085
926	3542.942068
927	3542.045658
928	3541.317518
929	3541.148499
930	3540.698438
931	3540.572952
932	3540.387947
933	3539.641592
934	3539.464365
935	3539.094646
936	3538.979487
937	3538.809652
938	3538.292143
939	3537.726216
940	3537.051951
941	3535.425995
942	3535.272753
943	3534.841971
944	3534.283577
945	3533.872876
946	3533.183051
947	3533.07787
948	3531.490746
949	3531.093684
950	3530.803153
951	3530.523231
952	3530.415929
953	3530.091683
954	3529.842922
955	3529.653298
956	3528.253717
957	3527.912935
958	3527.791514
959	3527.108659
960	3526.595001
961	3526.340209
962	3525.862524
963	3525.489526
964	3524.839797
965	3524.329965
966	3524.185136
967	3523.235093
968	3523.078939
969	3522.937557
970	3522.161572
971	3522.067099
972	3520.486268
973	3520.097711
974	3519.091395
975	3518.922851
976	3518.136432
977	3518.09456
978	3515.784886
979	3514.960568
980	3514.730148
981	3514.245734
982	3514.227891
983	3513.812692
984	3513.463767
985	3513.237155
986	3513.097407
987	3512.799596
988	3512.70891
989	3512.481031
990	3512.226972
991	3512.154543
992	3511.998109
993	3511.364248
994	3510.539356
995	3510.302157
996	3509.66963
997	3509.11018
998	3508.997287
999	3508.712886
